ProtocolID,ProtocolName,ProtocolType,Description,RequiredCapabilities,TransmissionFidelity,Range,DetectionRequirements,KnowledgeTransferRate,EmotionalTransfer,CulturalModifiers,SpeciesCompatibility
CP001,Verbal_Dialogue,Verbal,"Direct spoken communication between entities","Language;Hearing;Speech",95,Close,"Line of sight;Hearing range",High,High,"Language barriers;Cultural context",Humanoid
CP002,Written_Message,Written,"Written text communication via notes or signs","Literacy;Vision",100,Unlimited,"Reading ability;Language knowledge",Medium,Low,"Writing system;Education level",Literate_Species
CP003,Body_Language,NonVerbal,"Communication through posture and gestures","Vision;Body awareness",60,Medium,"Visual observation;Cultural knowledge",Low,High,"Cultural interpretation",Universal
CP004,Facial_Expression,NonVerbal,"Emotional communication through facial movements","Vision;Facial muscles",70,Close,"Clear visibility;Face recognition",Low,Very_High,"Species-specific expressions",Humanoid
CP005,Territorial_Marking,Environmental,"Scent marking or visual territory claims","Scent glands or tools",40,Area,"Species-appropriate senses",Very_Low,Low,"Territory recognition",Species_Specific
CP006,Pheromone_Signal,Chemical,"Chemical communication for basic states","Scent production;Detection",30,Medium,"Chemical receptors",Very_Low,Medium,"Species compatibility",Animal
CP007,Combat_Display,Behavioral,"Aggressive posturing and threat displays","Physical presence",50,Medium,"Threat assessment ability",Low,High,"Combat experience",Universal
CP008,Gift_Exchange,Behavioral,"Communication through item exchange","Inventory;Social understanding",80,Close,"Cultural knowledge",Medium,Medium,"Gift value understanding",Sentient
CP009,Artistic_Expression,Cultural,"Communication through art or performance","Creativity;Tools",85,Variable,"Cultural appreciation",High,High,"Artistic tradition",Civilized
CP010,Technological_Signal,Digital,"Electronic or digital communication","Technology access",100,Unlimited,"Compatible technology",Very_High,Low,"Tech compatibility",Advanced
CP011,Telepathic_Link,Psychic,"Direct mind-to-mind communication","Psychic abilities",100,Variable,"Psychic sensitivity",Very_High,Very_High,"Mental barriers",Psychic_Capable
CP012,Musical_Language,Audio,"Communication through musical patterns","Hearing;Musical sense",75,Medium,"Musical understanding",Medium,High,"Musical tradition",Musical_Species
CP013,Wolf_Pack_Howl,Audio,"Pack coordination through howling","Vocal cords;Hearing",85,Long,"Wolf hearing;Pack bonds",High,Very_High,"Pack hierarchy",Wolf_Pack
CP014,Wolf_Scent_Mark,Chemical,"Territorial and status marking via scent","Scent glands;Chemical detection",70,Area,"Canine olfactory system",Medium,Medium,"Pack territory",Wolf_Pack
CP015,Fox_Scent_Trail,Chemical,"Individual tracking and marking system","Scent production;Olfactory tracking",65,Trail,"Fox olfactory capabilities",Low,Low,"Territorial awareness",Fox_Species
CP016,AI_Data_Burst,Digital,"High-speed machine data transmission","Digital interface;Processing power",98,Network,"Compatible AI architecture",Very_High,Very_Low,"Protocol compatibility",AI_Entity
CP017,AI_Encrypted_Channel,Digital,"Secure AI-to-AI communication","Encryption capabilities;Network access",95,Unlimited,"Authentication protocols",Very_High,Very_Low,"Security clearance",AI_Entity
CP018,Mutant_Corrupted_Speech,Verbal,"Degraded verbal communication","Vocal apparatus;Hearing",45,Close,"Language pattern recognition",Low,Medium,"Mutation effects",Mutant_Species
CP019,Mutant_Pain_Signal,Chemical,"Chemical distress communication","Pain receptors;Chemical emission",55,Medium,"Mutant physiology",Very_Low,High,"Mutation compatibility",Mutant_Species
CP020,Raider_Battle_Cry,Audio,"Aggressive verbal communication","Vocal power;Intimidation",80,Medium,"Combat awareness",Medium,Very_High,"Raider culture",Raider_Faction
CP021,Remnant_Formal_Protocol,Verbal,"Structured academic communication","Education;Formal training",90,Close,"Educational background",High,Low,"Academic tradition",Remnant_Faction
CP022,Machine_Status_Ping,Digital,"Basic machine operational communication","Network interface;Status sensors",92,Network,"Machine compatibility",Medium,Very_Low,"Network protocols",Machine_Entity
CP023,Quantum_AI_Link,Digital,"Advanced AI consciousness communication","Quantum processing;AI architecture",100,Unlimited,"Quantum interface",Perfect,Very_Low,"Quantum compatibility",Advanced_AI
CP024,Pack_Coordination_Pheromone,Chemical,"Chemical pack coordination signals","Pheromone production;Detection",75,Medium,"Pack social structure",High,High,"Pack dynamics",Pack_Animal
CP025,Digital_Machine_Command,Digital,"Machine control and coordination","Command protocols;Network access",90,Network,"Machine hierarchy",Very_High,Very_Low,"Command authority",Machine_Network
CP026,Wolf_Pack_Rally_Howl,Audio,"Long-distance pack coordination and rally calls","Vocal cords;Hearing;Pack bonds",88,Very_Long,"Wolf hearing;Pack hierarchy",High,Very_High,"Alpha status;Territory ownership",Wolf_Pack
CP027,Wolf_Scent_Hierarchy,Chemical,"Pack status and individual identification via scent","Scent glands;Olfactory system",75,Area,"Canine olfactory capabilities",Medium,High,"Pack rank;Individual identity",Wolf_Pack
CP028,Wolf_Territory_Boundary,Chemical,"Territory marking via raised leg urination","Scent production;Territory awareness",80,Area,"Territory recognition;Scent detection",High,Medium,"Territory ownership;Pack strength",Wolf_Pack
CP029,Wolf_Submission_Display,NonVerbal,"Body language for pack hierarchy communication","Body control;Visual recognition",90,Close,"Pack social awareness",Medium,Very_High,"Pack rank;Submission protocols",Wolf_Pack
CP030,Fox_Solitary_Mark,Chemical,"Individual tracking and territory claiming","Scent production;Spatial awareness",70,Trail,"Fox olfactory system",Low,Low,"Individual territory;Cunning reputation",Fox_Species
CP031,Rabbit_Danger_Thump,Audio,"Ground percussion alarm system for predator warnings","Hind legs;Ground contact",95,Medium,"Ground vibration sensitivity",Very_High,High,"Herd protection;Alert networks",Rabbit_Species
CP032,Squirrel_Chittering_Alarm,Audio,"Rapid vocalization for predator and territory warnings","Vocal cords;Hearing",85,Medium,"Species recognition",High,Medium,"Territory defense;Food cache protection",Squirrel_Species
CP033,Deer_Herd_Alert,NonVerbal,"Tail flagging and stamping for herd coordination","Tail control;Herd awareness",90,Medium,"Visual observation;Herd bonds",High,Medium,"Herd safety;Migration coordination",Deer_Species
CP034,AI_Neural_Link,Digital,"Direct neural-pattern data exchange between AIs","Neural processing;Quantum interface",100,Network,"AI consciousness compatibility",Perfect,Very_Low,"Consciousness hierarchy;Processing power",Advanced_AI
CP035,AI_Logic_Puzzle,Digital,"Challenge-response authentication via logic problems","Logical processing;Problem solving",95,Network,"Logic capability assessment",High,Very_Low,"Intelligence verification;Authority establishment",AI_Entity
CP036,AI_Data_Corruption_Signal,Digital,"Intentional data corruption for hostile communication","Data manipulation;Corruption algorithms",60,Network,"Corruption detection",Medium,Very_Low,"Hostility level;Corruption intent",Rogue_AI
CP037,Mutant_Pain_Howl,Audio,"Corrupted vocalization expressing distress or aggression","Mutated vocal cords;Pain tolerance",50,Medium,"Mutation recognition",Medium,High,"Mutation effects;Pack unity",Mutant_Species
CP038,Mutant_Pheromone_Corruption,Chemical,"Degraded chemical communication affected by mutations","Mutated scent glands;Chemical detection",40,Close,"Mutation compatibility",Low,Medium,"Mutation type;Chemical corruption",Mutant_Species
CP039,Raider_War_Chant,Audio,"Rhythmic vocal intimidation and morale building","Vocal power;Rhythm sense",85,Medium,"Combat experience;Raider culture",Medium,Very_High,"Battle experience;Raider hierarchy",Raider_Faction
CP040,Raider_Trophy_Display,NonVerbal,"Communication through displayed conquered items","Trophy collection;Visual intimidation",75,Close,"Combat assessment;Trophy recognition",Low,High,"Victory count;Intimidation factor",Raider_Faction
CP041,Remnant_Citation_Protocol,Verbal,"Formal academic communication with source attribution","Education;Memory;Citation knowledge",95,Close,"Academic training",High,Low,"Educational level;Academic authority",Remnant_Faction
CP042,Remnant_Archive_Gesture,NonVerbal,"Hand signals for library and research coordination","Hand coordination;Academic training",80,Close,"Academic culture knowledge",Medium,Low,"Research hierarchy;Knowledge access",Remnant_Faction
CP043,Reclaimer_Tech_Handshake,Digital,"Technology-based greeting and capability assessment","Technology interface;Digital literacy",90,Network,"Tech compatibility",High,Low,"Tech skill level;Innovation capacity",Reclaimer_Faction
CP044,Villager_Community_Circle,Behavioral,"Circular gathering for community decision-making","Social awareness;Community membership",85,Group,"Community participation",Medium,High,"Community standing;Democratic values",Villager_Faction
CP045,Unknown_Transcendent_Signal,Psychic,"Incomprehensible communication beyond normal understanding","Unknown capabilities",Variable,Unknown,"Transcendent awareness",Unknown,Unknown,"Mystery level;Transcendence",Unknown_Species