SkillID,SkillName,Description,Requirements,AssociatedAttributes,AttributeModifiers,EffectOnBehaviors
Skill_CombatSkill,Combat Skill,"Ability to engage effectively in combat.","","Strength;Dexterity;Endurance","DamageOutput:+10%;Defense:+5%","Enhances combat effectiveness."
Skill_Archery,Archery,"Skill in using bows and arrows.","Requires Bow or Crossbow.","Dexterity;Perception","RangedAccuracy:+15%","Improves ranged attack accuracy."
Skill_MeleeWeapons,Melee Weapons,"Proficiency with melee weapons.","","Strength;Dexterity","DamageOutput:+10%","Increases melee damage."
Skill_Stealth,Stealth,"Ability to move unseen and unheard.","","Dexterity;Caution","DetectionChance:-20%","Enhances sneaking and evasion."
Skill_Lockpicking,Lockpicking,"Ability to pick locks on doors and containers.","Requires Lockpick Tools.","Dexterity;Perception","SuccessRate:+15%","Allows access to locked areas."
Skill_Persuasion,Persuasion,"Skill in convincing others.","","Charisma;EmotionalIntelligence","Influence:+10%","Improves dialogue outcomes."
Skill_Bartering,Bartering,"Ability to negotiate better trade deals.","","Charisma;Wisdom","TradeBenefits:+10%","Enhances trading efficiency."
Skill_Intimidation,Intimidation,"Ability to instill fear or compliance.","","Strength;Aggression","EnemyFear:+15%","Increases success in coercive interactions."
Skill_Diplomacy,Diplomacy,"Skill in managing relations and negotiations.","","Charisma;EmotionalIntelligence","RelationImprovement:+10%","Improves relations with others."
Skill_Leadership,Leadership,"Ability to lead and command others.","","Charisma;Willpower","GroupMorale:+15%","Improves group coordination and morale."
Skill_Strategy,Strategy,"Skill in planning and executing strategies.","","Intelligence;Wisdom","TacticalAdvantage:+10%","Improves planning and tactical decisions."
Skill_Tactics,Tactics,"Skill in tactical planning.","","Intelligence;Perception","CombatEffectiveness:+10%","Improves combat strategies."
Skill_SurvivalSkill,Survival Skill,"Ability to survive in harsh conditions.","","Endurance;Willpower","ResourceUseEfficiency:+10%","Enhances survival behaviors."
Skill_Hunting,Hunting,"Proficiency in tracking and hunting animals.","","Perception;Dexterity","HuntingSuccess:+15%","Improves success rate in hunting."
Skill_Fishing,Fishing,"Ability to catch fish.","Requires Fishing Rod.","Patience;Dexterity","FishingSuccess:+20%","Increases fishing efficiency."
Skill_Foraging,Foraging,"Skill in finding edible plants and materials.","","Perception;Wisdom","ResourceDiscovery:+15%","Enhances gathering of resources."
Skill_Tracking,Tracking,"Ability to track creatures or individuals.","","Perception;Intelligence","TrackingAccuracy:+15%","Improves tracking capabilities."
Skill_Cooking,Cooking,"Ability to prepare food.","","Intelligence;Creativity","FoodQuality:+10%","Creates better food items."
Skill_Blacksmithing,Blacksmithing,"Skill in forging metal items.","Requires Forge.","Strength;Endurance","ItemQuality:+15%","Allows crafting of metal items."
Skill_Crafting,Crafting,"General skill in creating items.","","Intelligence;Dexterity","CraftingSpeed:+10%","Enables crafting of various items."
Skill_Tailoring,Tailoring,"Ability to create clothing and armor.","","Dexterity;Creativity","ClothingQuality:+15%","Allows crafting of garments."
Skill_Herbalism,Herbalism,"Knowledge of plants and their properties.","","Intelligence;Wisdom","PotionEffectiveness:+10%","Enables creation of potions."
Skill_Alchemy,Alchemy,"Skill in creating potions and elixirs.","Requires Alchemy Lab.","Intelligence;Wisdom","PotionQuality:+15%","Allows crafting of alchemical items."
Skill_Medicine,Medicine,"Ability to treat injuries and illnesses.","","Intelligence;Compassion","HealingEffectiveness:+15%","Improves healing actions."
Skill_Healing,Healing,"Ability to heal others.","","Compassion;Wisdom","HealingEffectiveness:+15%","Allows for healing actions."
Skill_AnimalHandling,Animal Handling,"Skill in working with animals.","","Patience;Compassion","AnimalTrust:+20%","Improves interactions with animals."
Skill_Farming,Farming,"Ability to cultivate crops.","","Patience;Endurance","CropYield:+15%","Increases agricultural productivity."
Skill_Mining,Mining,"Skill in extracting ores and minerals.","Requires Mining Pick.","Strength;Endurance","ResourceYield:+10%","Enhances mining efficiency."
Skill_Language,Language,"Proficiency in understanding and speaking languages.","","Intelligence;Wisdom","CommunicationSuccess:+10%","Enables communication with various groups."
Skill_Navigation,Navigation,"Ability to navigate through environments.","","Intelligence;Perception","TravelEfficiency:+10%","Reduces chance of getting lost."
Skill_Cartography,Cartography,"Skill in map-making and reading.","","Intelligence;Creativity","MapDetail:+15%","Creates detailed maps."
Skill_Programming,Programming,"Ability to write and understand code.","","Intelligence;TechnicalSkill","SoftwareDevelopment:+15%","Enables creation of software."
Skill_Hacking,Hacking,"Skill in breaching computer systems.","","Intelligence;TechnicalSkill","SystemBreachSuccess:+15%","Allows access to secured systems."
Skill_CyberSecurity,Cyber Security,"Defense against cyber threats.","","Intelligence;Adaptability","DefenseAgainstHacking:+20%","Protects against data corruption."
Skill_Electronics,Electronics,"Knowledge of electronic systems.","","Intelligence;TechnicalSkill","RepairEfficiency:+15%","Enables repair of electronic devices."
Skill_Mechanics,Mechanics,"Understanding of mechanical systems.","","Intelligence;TechnicalSkill","MechanicEfficiency:+15%","Allows repair and creation of machines."
Skill_EngineeringSkill,Engineering Skill,"Expertise in engineering and mechanics.","","Intelligence;TechnicalSkill","ConstructionSpeed:+15%","Enables creation and repair of technology."
Skill_TechnicalSkill,Technical Skill,"Proficiency with technical systems.","","Intelligence;Dexterity","SystemInteraction:+15%","Improves interaction with technology."
Skill_MachineInterface,Machine Interface,"Skill in interfacing with machines.","","TechnicalSkill;Intelligence","MachineControl:+10%","Allows communication with machines."
Skill_Innovation,Innovation,"Ability to create new technologies.","","Intelligence;Creativity","NewTechDevelopment:+15%","Enables development of new tools."
Skill_DataAcquisition,Data Acquisition,"Ability to gather and process data.","","ProcessingPower","DataAnalysisSpeed:+20%","Enhances knowledge base."
Skill_SystemControl,System Control,"Control over systems and networks.","","ProcessingPower;AnalyticalAbility","SystemOverrideSuccess:+15%","Enables manipulation of systems."
Skill_KnowledgeHistory,Knowledge of History,"Understanding of historical events.","","Intelligence;Wisdom","Insight:+10%","Provides insights into past events."
Skill_ResearchSkill,Research Skill,"Expertise in conducting research.","","Intelligence;Curiosity","ResearchSpeed:+20%","Enhances knowledge acquisition."
Skill_Archaeology,Archaeology,"Study of ancient cultures through artifacts.","","Intelligence;Curiosity","FindRareArtifacts:+15%","Improves chances of discovering artifacts."
Skill_Mysticism,Mysticism,"Understanding of mystical or arcane knowledge.","","Wisdom","AccessToMysticAbilities","Allows use of mystical abilities."
Skill_KnowledgeArcane,Knowledge Arcane,"Understanding of arcane secrets.","","Wisdom;Mysticism","ArcaneAbilitiesAccess","Enables use of arcane abilities."
Skill_HealingMagic,Healing Magic,"Ability to heal using magic.","Requires Mysticism Skill.","Wisdom;Willpower","MagicalHealingEffectiveness:+20%","Allows magical healing actions."
Skill_Spellcasting,Spellcasting,"Ability to cast magical spells.","Requires KnowledgeArcane Skill.","Wisdom;Willpower","SpellEffectiveness:+15%","Enables use of spells."
Skill_Deception,Deception,"Ability to deceive others.","","Charisma;Caution","DetectionChance:-15%","Improves lying and bluffing."
Skill_SleightOfHand,Sleight of Hand,"Skill in performing tasks without detection.","","Dexterity;Caution","SuccessRate:+15%","Enhances pickpocketing and trickery."
Skill_Perception,Perception,"Ability to notice subtle details.","","Perception;Wisdom","DetectionChance:+10%","Improves awareness of surroundings."
Skill_Intuition,Intuition,"Gut feeling about situations.","","Wisdom;Perception","DecisionMaking:+10%","Enhances quick judgments."
Skill_Acrobatics,Acrobatics,"Physical agility and coordination.","","Dexterity;Coordination","Evasion:+10%","Improves movement and evasion."
Skill_Athletics,Athletics,"Physical strength and stamina.","","Strength;Endurance","PhysicalTasks:+15%","Enhances physical activities."
Skill_MedicineAdvanced,Advanced Medicine,"Expertise in complex medical procedures.","Requires Medicine Skill.","Intelligence;Compassion","AdvancedHealing:+20%","Allows complex medical treatments."
Skill_Psychology,Psychology,"Understanding of mental processes.","","Intelligence;EmotionalIntelligence","TherapyEffectiveness:+15%","Improves social interactions."
Skill_Firearms,Firearms,"Skill in using guns effectively.","","Dexterity;Perception","RangedDamage:+15%","Increases firearm damage."
Skill_Explosives,Explosives,"Knowledge of handling explosives.","","Intelligence;Caution","ExplosionEffectiveness:+15%","Allows creation and use of explosives."
Skill_Piloting,Piloting,"Ability to operate vehicles or aircraft.","","Intelligence;Coordination","PilotingSkill:+15%","Enables vehicle operation."
Skill_AnimalTraining,Animal Training,"Skill in training animals.","Requires Animal Handling Skill.","Patience;Compassion","AnimalAbilities:+20%","Allows training animals for tasks."
Skill_Forging,Forging,"Skill in creating metal tools and weapons.","Requires Blacksmithing Skill.","Strength;Endurance","WeaponQuality:+15%","Enhances weapon crafting."
Skill_Botany,Botany,"Study of plant life.","","Intelligence;Curiosity","PlantKnowledge:+15%","Improves herbalism and agriculture."
Skill_HerbalMedicine,Herbal Medicine,"Creating medicine from plants.","Requires Herbalism Skill.","Intelligence;Wisdom","MedicineQuality:+15%","Allows creation of herbal remedies."
Skill_PoisonMaking,Poison Making,"Ability to create poisons.","Requires Herbalism Skill.","Intelligence;Caution","PoisonEffectiveness:+15%","Enables crafting of poisons."
Skill_Smithing,Smithing,"General skill in metalworking.","","Strength;Dexterity","ItemDurability:+10%","Improves quality of metal items."
Skill_Enchanting,Enchanting,"Ability to imbue items with magical properties.","Requires Mysticism Skill.","Wisdom;Creativity","EnchantmentEffectiveness:+15%","Allows enchanting of items."
Skill_Teaching,Teaching,"Ability to impart knowledge to others.","","Intelligence;Patience","LearningRateForOthers:+15%","Improves skill transfer to others."
Skill_Gathering,Gathering,"Skill in collecting resources efficiently.","","Perception;Endurance","ResourceYield:+10%","Enhances resource collection."
Skill_Fortification,Fortification,"Ability to build defensive structures.","","Intelligence;Strength","DefenseStructures:+15%","Improves construction of defenses."
Skill_Sailing,Sailing,"Skill in navigating watercraft.","","Intelligence;Coordination","SailingEfficiency:+15%","Enables operation of boats."
Skill_Camouflage,Camouflage,"Ability to blend into surroundings.","","Dexterity;Caution","DetectionChance:-15%","Enhances hiding and stealth."
Skill_DetectMagic,Detect Magic,"Ability to sense magical energies.","Requires Mysticism Skill.","Wisdom;Perception","MagicDetection:+20%","Allows detection of magical elements."
Skill_Brewing,Brewing,"Skill in creating beverages.","","Intelligence;Creativity","BeverageQuality:+10%","Allows creation of drinks."
Skill_CookingAdvanced,Advanced Cooking,"Expertise in gourmet cooking.","Requires Cooking Skill.","Intelligence;Creativity","FoodQuality:+20%","Creates superior food items."
Skill_LeadershipAdvanced,Advanced Leadership,"Exceptional ability to lead.","Requires Leadership Skill.","Charisma;Willpower","GroupMorale:+25%","Greatly improves group coordination."
Skill_SmithingAdvanced,Advanced Smithing,"Expertise in advanced metalworking.","Requires Smithing Skill.","Strength;Dexterity","ItemQuality:+20%","Allows crafting of superior items."
Skill_MedicineMystic,Mystic Medicine,"Combining magic with medicine.","Requires Medicine and Mysticism Skills.","Intelligence;Wisdom","HealingEffectiveness:+25%","Allows magical healing treatments."
Skill_Negotiation,Negotiation,"Ability to negotiate and persuade.","","Charisma;Persuasion","TradeBenefits:+10%","Enhances trade and conflict resolution."
